global_timestamp_ms,angle
1691507137.6233766,x
1691507137.701018,x
1691507137.778328,x
1691507137.851048,x
1691507137.9570465,x
1691507137.9580495,x
1691507138.03305,65.29778348767073
1691507138.1090498,16.429650666720157
1691507138.1858137,x
1691507138.1868303,x
1691507138.261827,x
1691507138.2628272,x
1691507138.3388276,x
1691507138.3398275,x
1691507138.427828,32.17225185550594
1691507138.519827,x
1691507138.520828,x
1691507138.6038263,x
1691507138.6048265,x
1691507138.6808271,163.0050041703378
1691507138.7568269,132.2652140075136
1691507138.832233,171.19233645513938
1691507138.9082336,x
1691507138.9092326,x
1691507138.9832327,x
1691507138.9842324,x
1691507139.0582378,x
1691507139.0592327,x
1691507139.1348052,170.23091249132267
1691507139.210805,170.5818997685813
1691507139.2868052,154.2148106753628
1691507139.3602357,x
1691507139.4412484,x
1691507139.5209036,x
1691507139.599902,x
1691507139.679902,x
1691507139.758581,x
1691507139.8395948,x
1691507139.922875,x
1691507140.0148745,x
1691507140.0968716,x
1691507140.1998715,x
1691507140.2008717,x
1691507140.2828715,97.92039422964388
1691507140.3614326,x
1691507140.4344316,x
1691507140.5054326,x
1691507140.5802836,x
1691507140.652284,x
1691507140.723286,x
1691507140.7962835,x
1691507140.8912833,145.56260024681015
1691507140.9672852,139.0781393624628
1691507141.0448208,138.58083428611124
1691507141.1208203,149.6934302486586
1691507141.1958213,150.77650435561935
1691507141.2718198,156.37023221913526
1691507141.34682,162.05962370735224
1691507141.422377,166.66192737384173
1691507141.497377,167.47231480102502
1691507141.498375,x
1691507141.5724125,x
1691507141.5734406,x
1691507141.6464262,170.79770752501625
1691507141.721428,174.8652985226835
1691507141.7984266,175.41429790115978
1691507141.8730445,172.82976505664288
1691507141.9480436,173.58009529492017
1691507142.0209863,x
1691507142.0220137,x
1691507142.097005,177.99111468495803
1691507142.1720042,177.95213335936222
1691507142.247002,179.4861410516895
1691507142.3362784,176.57221636449464
1691507142.4122808,177.73678291491905
1691507142.4872794,177.06128846962395
1691507142.5612798,174.4350891054818
1691507142.635815,172.7238309181923
1691507142.7108147,172.4998149578182
1691507142.786816,170.91689182020949
1691507142.8618202,170.0267933492681
1691507142.9388125,169.0269199758108
