global_time,timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),angle
1691507136.4125314,14073108.0,322.0,365.0,
1691507136.4125314,14074676.0,323.0,370.0,
1691507136.4125314,14076248.0,325.0,366.0,
1691507136.413531,14077816.0,323.0,358.0,
1691507136.4613411,14079384.0,324.0,346.0,
1691507136.4613411,14080956.0,320.0,331.0,
1691507136.4623704,14082524.0,319.0,321.0,
1691507136.4623704,14084092.0,317.0,318.0,
1691507136.4623704,14085664.0,317.0,315.0,
1691507136.4633703,14087232.0,318.0,319.0,
1691507136.4633703,14088804.0,316.0,325.0,
1691507136.4633703,14090372.0,318.0,342.0,
1691507136.4633703,14091940.0,323.0,355.0,
1691507136.4643705,14093508.0,323.0,369.0,
1691507136.4643705,14095080.0,324.0,366.0,
1691507136.4643705,14096648.0,324.0,362.0,
1691507136.4653704,14098216.0,325.0,354.0,
1691507136.4653704,14099788.0,323.0,341.0,
1691507136.4653704,14101356.0,321.0,330.0,
1691507136.4663703,14102924.0,322.0,320.0,
1691507136.4663703,14104496.0,320.0,316.0,
1691507136.4673705,14106064.0,315.0,317.0,
1691507136.4673705,14107632.0,308.0,325.0,
1691507136.4673705,14109204.0,315.0,331.0,
1691507136.468371,14110772.0,318.0,365.0,
1691507136.468371,14112344.0,324.0,359.0,
1691507136.468371,14113912.0,329.0,351.0,
1691507136.4693704,14115480.0,327.0,367.0,
1691507136.4693704,14117052.0,326.0,368.0,
1691507136.4693704,14118620.0,325.0,357.0,
1691507136.4693704,14120188.0,323.0,341.0,
1691507136.4703703,14121760.0,320.0,327.0,
1691507136.4703703,14123328.0,318.0,318.0,
1691507136.4703703,14124896.0,317.0,317.0,
1691507136.4713702,14126468.0,316.0,320.0,
1691507136.4713702,14128036.0,315.0,340.0,
1691507136.4713702,14129604.0,319.0,319.0,
1691507136.4713702,14131176.0,322.0,343.0,
1691507136.47237,14132744.0,321.0,362.0,
1691507136.47237,14134312.0,323.0,371.0,
1691507136.47237,14135884.0,325.0,370.0,
1691507136.47237,14137452.0,327.0,360.0,
1691507136.473369,14139020.0,327.0,354.0,
1691507136.473369,14140592.0,323.0,337.0,
1691507136.523726,14142160.0,318.0,324.0,
1691507136.5247257,14143732.0,316.0,315.0,
1691507136.5247257,14145300.0,315.0,313.0,
1691507136.5247257,14146868.0,315.0,313.0,
