timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
126922068.0,323.0,325.0
126923724.0,324.0,328.0
126925384.0,321.0,326.0
126927040.0,321.0,325.0
126928696.0,321.0,326.0
126930352.0,324.0,328.0
126932008.0,326.0,329.0
126933664.0,329.0,330.0
126935320.0,329.0,331.0
126936976.0,329.0,329.0
126938632.0,330.0,327.0
126940292.0,327.0,328.0
126941948.0,324.0,327.0
126943604.0,322.0,326.0
126945260.0,320.0,325.0
126946916.0,322.0,325.0
126948572.0,323.0,327.0
126950232.0,323.0,327.0
126951888.0,323.0,328.0
126953544.0,327.0,330.0
126955200.0,328.0,329.0
126956856.0,329.0,330.0
126958512.0,329.0,329.0
126960168.0,328.0,328.0
126961828.0,326.0,327.0
126963484.0,323.0,327.0
126965140.0,323.0,326.0
126966804.0,322.0,326.0
126968452.0,322.0,326.0
126970108.0,324.0,327.0
126971764.0,325.0,329.0
126973420.0,328.0,329.0
126975080.0,327.0,329.0
126976736.0,329.0,329.0
126978392.0,329.0,328.0
126980048.0,327.0,327.0
126981704.0,324.0,327.0
126983360.0,324.0,325.0
126985020.0,323.0,327.0
126986676.0,321.0,325.0
126988332.0,322.0,328.0
126989988.0,322.0,327.0
126991644.0,325.0,327.0
126993300.0,326.0,330.0
126994956.0,328.0,329.0
126996612.0,328.0,329.0
126998272.0,328.0,328.0
126999928.0,328.0,328.0
127001584.0,326.0,326.0
127003240.0,324.0,326.0
127004896.0,322.0,327.0
127006552.0,322.0,326.0
127008208.0,322.0,326.0
127009868.0,322.0,328.0
127011524.0,325.0,329.0
127013180.0,325.0,328.0
127014836.0,327.0,328.0
127016492.0,328.0,331.0
127018148.0,329.0,330.0
127019808.0,328.0,327.0
127021464.0,326.0,328.0
127023128.0,324.0,327.0
127024776.0,324.0,326.0
127026432.0,322.0,326.0
127028088.0,322.0,325.0
127029744.0,321.0,327.0
127031400.0,325.0,329.0
127033060.0,324.0,328.0
127034716.0,329.0,330.0
127036372.0,329.0,329.0
127038028.0,329.0,329.0
127039684.0,327.0,328.0
127041340.0,328.0,329.0
