timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
702838052.0,325.0,453.0
702839712.0,323.0,391.0
702841368.0,319.0,225.0
702843024.0,332.0,141.0
702844680.0,318.0,240.0
702846336.0,317.0,354.0
702847992.0,324.0,346.0
702849652.0,340.0,331.0
702851308.0,333.0,331.0
702852964.0,331.0,347.0
702854620.0,327.0,350.0
702856276.0,325.0,381.0
702857932.0,313.0,362.0
702859588.0,321.0,282.0
702861244.0,322.0,268.0
702862900.0,324.0,350.0
702864560.0,326.0,355.0
702866216.0,329.0,358.0
702867872.0,322.0,331.0
702869532.0,325.0,314.0
702871184.0,328.0,299.0
702872840.0,326.0,323.0
702874500.0,332.0,326.0
702876156.0,330.0,347.0
702877812.0,327.0,327.0
702879468.0,328.0,347.0
702881124.0,327.0,347.0
702882780.0,317.0,325.0
702884436.0,313.0,429.0
702886096.0,323.0,358.0
702887748.0,324.0,268.0
702889408.0,323.0,229.0
702891064.0,334.0,281.0
702892720.0,327.0,399.0
702894376.0,334.0,365.0
702896032.0,336.0,306.0
702897688.0,334.0,277.0
702899348.0,319.0,314.0
702901004.0,320.0,303.0
702902660.0,323.0,315.0
702904316.0,320.0,326.0
702905972.0,316.0,376.0
702907628.0,323.0,378.0
702909284.0,322.0,338.0
702910940.0,325.0,408.0
702912600.0,333.0,347.0
702914256.0,350.0,214.0
702915912.0,338.0,214.0
702917568.0,303.0,275.0
702919224.0,305.0,352.0
702920884.0,321.0,398.0
702922540.0,322.0,390.0
702924196.0,326.0,336.0
702925852.0,328.0,333.0
702927508.0,326.0,343.0
702929164.0,322.0,355.0
702930820.0,326.0,390.0
702932476.0,325.0,351.0
702934132.0,335.0,296.0
702935792.0,319.0,304.0
702937448.0,319.0,366.0
702939104.0,332.0,311.0
702940760.0,337.0,270.0
702942416.0,327.0,296.0
702944072.0,322.0,328.0
702945732.0,325.0,346.0
702947388.0,327.0,321.0
702949044.0,325.0,277.0
702950700.0,325.0,271.0
702952356.0,323.0,311.0
702954012.0,320.0,409.0
702955668.0,323.0,405.0
702957328.0,326.0,329.0
702958984.0,325.0,350.0
702960648.0,322.0,325.0
702962296.0,327.0,346.0
702963952.0,315.0,304.0
702965608.0,326.0,300.0
702967264.0,325.0,314.0
702968920.0,321.0,318.0
702970576.0,334.0,334.0
702972236.0,317.0,282.0
702973892.0,338.0,312.0
702975548.0,337.0,356.0
702977204.0,322.0,364.0
702978864.0,330.0,324.0
702980520.0,320.0,396.0
702982176.0,320.0,381.0
702983832.0,315.0,276.0
702985488.0,325.0,264.0
702987144.0,328.0,234.0
702988800.0,334.0,324.0
702990456.0,334.0,405.0
702992116.0,326.0,385.0
702993768.0,316.0,295.0
702995428.0,314.0,276.0
702997084.0,325.0,316.0
702998740.0,324.0,346.0
703000396.0,321.0,347.0
703002052.0,323.0,357.0
703003708.0,327.0,295.0
703005368.0,331.0,253.0
703007024.0,328.0,275.0
703008680.0,327.0,302.0
703010336.0,322.0,365.0
703011992.0,324.0,404.0
703013648.0,327.0,426.0
703015308.0,320.0,344.0
703016972.0,323.0,293.0
703018620.0,326.0,353.0
703020276.0,329.0,299.0
703021932.0,330.0,255.0
703023588.0,326.0,331.0
703025244.0,327.0,379.0
703026904.0,325.0,357.0
703028560.0,316.0,331.0
703030216.0,315.0,328.0
703031872.0,325.0,282.0
703033528.0,333.0,302.0
703035184.0,333.0,365.0
703036840.0,331.0,413.0
703038496.0,317.0,315.0
703040156.0,327.0,310.0
703041812.0,324.0,292.0
703043468.0,326.0,309.0
703045124.0,329.0,307.0
703046780.0,325.0,326.0
703048436.0,322.0,322.0
703050092.0,327.0,329.0
703051752.0,324.0,327.0
703053408.0,323.0,320.0
703055064.0,330.0,319.0
703056720.0,325.0,346.0
703058376.0,317.0,353.0
703060032.0,324.0,336.0
703061692.0,329.0,235.0
703063348.0,327.0,282.0
703065004.0,324.0,416.0
703066660.0,319.0,368.0
703068316.0,322.0,378.0
703069972.0,326.0,320.0
703071628.0,325.0,358.0
703073292.0,331.0,304.0
703074944.0,325.0,243.0
703076600.0,328.0,326.0
703078256.0,325.0,407.0
703079912.0,328.0,367.0
703081568.0,315.0,335.0
703083224.0,331.0,295.0
703084880.0,327.0,289.0
703086536.0,329.0,267.0
703088192.0,320.0,308.0
703089852.0,319.0,363.0
703091508.0,331.0,387.0
703093164.0,330.0,321.0
703094820.0,315.0,220.0
703096476.0,316.0,295.0
703098132.0,325.0,445.0
703099792.0,329.0,365.0
703101448.0,324.0,292.0
703103104.0,320.0,301.0
703104760.0,326.0,304.0
703106416.0,324.0,319.0
703108072.0,328.0,358.0
703109732.0,317.0,343.0
703111388.0,326.0,317.0
703113044.0,326.0,299.0
703114700.0,331.0,326.0
703116356.0,324.0,357.0
703118012.0,329.0,305.0
703119668.0,331.0,357.0
703121324.0,324.0,288.0
703122980.0,322.0,317.0
703124640.0,323.0,358.0
703126296.0,324.0,343.0
703127952.0,327.0,305.0
703129616.0,315.0,214.0
703131264.0,321.0,324.0
703132920.0,324.0,427.0
703134580.0,330.0,363.0
703136236.0,323.0,396.0
703137892.0,323.0,385.0
703139548.0,327.0,315.0
703141204.0,324.0,219.0
703142860.0,330.0,237.0
703144516.0,329.0,395.0
703146176.0,325.0,331.0
703147832.0,332.0,275.0
703149488.0,328.0,281.0
703151144.0,325.0,332.0
703152800.0,322.0,333.0
703154456.0,325.0,290.0
703156112.0,322.0,281.0
703157768.0,321.0,348.0
703159428.0,322.0,426.0
703161084.0,320.0,388.0
703162740.0,320.0,375.0
703164396.0,327.0,332.0
703166052.0,330.0,298.0
703167708.0,327.0,300.0
703169364.0,321.0,291.0
703171024.0,324.0,330.0
703172680.0,322.0,344.0
703174336.0,327.0,367.0
703175992.0,329.0,294.0
703177648.0,326.0,287.0
703179304.0,326.0,332.0
703180960.0,327.0,315.0
