timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2)
566833224.0,328.0,344.0
566834884.0,326.0,324.0
566836540.0,326.0,314.0
566838196.0,324.0,311.0
566839852.0,326.0,284.0
566841508.0,320.0,297.0
566843168.0,321.0,356.0
566844824.0,319.0,382.0
566846488.0,327.0,342.0
566848136.0,326.0,307.0
566849792.0,327.0,329.0
566851448.0,329.0,333.0
566853104.0,328.0,333.0
566854760.0,325.0,316.0
566856420.0,324.0,317.0
566858076.0,324.0,324.0
566859732.0,321.0,332.0
566861388.0,325.0,348.0
566863044.0,323.0,314.0
566864700.0,324.0,300.0
566866356.0,324.0,315.0
566868016.0,325.0,325.0
566869672.0,329.0,350.0
566871328.0,329.0,337.0
566872984.0,328.0,337.0
566874640.0,327.0,328.0
566876296.0,326.0,324.0
566877956.0,324.0,319.0
566879608.0,321.0,336.0
566881268.0,321.0,342.0
566882924.0,322.0,337.0
566884580.0,323.0,315.0
566886236.0,327.0,321.0
566887892.0,325.0,298.0
566889548.0,322.0,313.0
566891204.0,329.0,352.0
566892864.0,327.0,354.0
566894520.0,326.0,349.0
566896176.0,328.0,333.0
566897832.0,324.0,286.0
566899488.0,316.0,279.0
566901144.0,323.0,344.0
566902808.0,326.0,333.0
566904460.0,322.0,313.0
566906116.0,326.0,328.0
566907772.0,330.0,346.0
566909428.0,327.0,336.0
566911084.0,327.0,318.0
566912740.0,329.0,334.0
566914400.0,326.0,348.0
566916052.0,326.0,321.0
566917712.0,324.0,310.0
566919368.0,322.0,343.0
566921024.0,323.0,331.0
566922680.0,322.0,319.0
566924336.0,324.0,309.0
566925992.0,329.0,348.0
566927648.0,325.0,356.0
566929308.0,329.0,338.0
566930964.0,329.0,314.0
566932620.0,326.0,325.0
566934276.0,325.0,333.0
566935932.0,326.0,325.0
566937592.0,325.0,314.0
566939244.0,323.0,316.0
566940904.0,322.0,323.0
566942560.0,321.0,327.0
566944216.0,324.0,330.0
566945872.0,327.0,319.0
566947528.0,324.0,311.0
566949184.0,327.0,331.0
566950844.0,324.0,354.0
566952500.0,329.0,334.0
566954156.0,326.0,331.0
566955812.0,327.0,301.0
566957468.0,327.0,300.0
566959132.0,320.0,350.0
566960780.0,318.0,354.0
566962436.0,324.0,357.0
566964096.0,324.0,318.0
566965752.0,327.0,302.0
566967408.0,328.0,326.0
566969064.0,325.0,322.0
566970720.0,326.0,329.0
566972380.0,326.0,319.0
566974036.0,330.0,328.0
566975692.0,326.0,326.0
566977348.0,325.0,331.0
566979004.0,326.0,320.0
566980660.0,322.0,324.0
566982316.0,323.0,332.0
566983972.0,322.0,330.0
566985628.0,325.0,334.0
566987284.0,324.0,316.0
566988944.0,329.0,308.0
566990600.0,326.0,313.0
566992256.0,327.0,356.0
566993912.0,328.0,360.0
566995568.0,326.0,362.0
566997224.0,322.0,309.0
566998884.0,325.0,287.0
567000540.0,324.0,308.0
567002196.0,321.0,327.0
567003852.0,322.0,348.0
567005508.0,324.0,341.0
567007168.0,326.0,332.0
567008820.0,325.0,328.0
567010480.0,326.0,315.0
567012136.0,327.0,312.0
567013792.0,326.0,339.0
567015452.0,325.0,341.0
567017104.0,326.0,344.0
567018760.0,326.0,321.0
567020416.0,324.0,317.0
567022072.0,322.0,317.0
567023732.0,322.0,317.0
567025388.0,325.0,324.0
567027044.0,323.0,330.0
567028700.0,324.0,336.0
567030356.0,325.0,351.0
567032016.0,330.0,317.0
567033668.0,326.0,312.0
567035328.0,328.0,323.0
567036984.0,326.0,331.0
567038640.0,325.0,335.0
567040296.0,321.0,321.0
567041952.0,321.0,326.0
567043608.0,323.0,331.0
567045264.0,323.0,332.0
567046924.0,323.0,326.0
567048580.0,327.0,327.0
567050236.0,325.0,323.0
567051892.0,332.0,330.0
567053548.0,329.0,336.0
567055204.0,326.0,297.0
567056860.0,324.0,314.0
567058520.0,326.0,360.0
567060176.0,321.0,353.0
567061832.0,322.0,341.0
567063488.0,324.0,330.0
567065144.0,325.0,320.0
567066800.0,325.0,308.0
567068460.0,324.0,320.0
567070116.0,325.0,324.0
567071772.0,325.0,324.0
567073428.0,326.0,329.0
567075084.0,326.0,332.0
567076740.0,327.0,330.0
567078400.0,325.0,332.0
567080056.0,323.0,288.0
567081712.0,323.0,294.0
567083368.0,323.0,367.0
567085024.0,324.0,361.0
567086680.0,326.0,333.0
567088336.0,321.0,325.0
567089992.0,324.0,313.0
567091648.0,327.0,310.0
567093308.0,328.0,330.0
567094964.0,327.0,342.0
567096620.0,324.0,338.0
567098276.0,322.0,328.0
567099932.0,324.0,320.0
567101588.0,325.0,320.0
567103248.0,322.0,325.0
567104904.0,322.0,324.0
567106568.0,324.0,322.0
567108216.0,328.0,325.0
567109872.0,329.0,331.0
567111528.0,328.0,339.0
567113184.0,325.0,342.0
567114840.0,329.0,325.0
567116500.0,325.0,313.0
567118156.0,323.0,329.0
567119812.0,324.0,332.0
567121468.0,324.0,304.0
567123124.0,320.0,327.0
567124780.0,325.0,336.0
567126436.0,324.0,345.0
567128092.0,326.0,338.0
567129752.0,327.0,319.0
567131408.0,326.0,280.0
567133064.0,326.0,311.0
567134720.0,326.0,366.0
567136376.0,326.0,357.0
567138032.0,326.0,346.0
567139688.0,324.0,325.0
567141348.0,324.0,321.0
567143004.0,324.0,322.0
567144660.0,322.0,321.0
567146316.0,324.0,324.0
567147972.0,326.0,325.0
567149628.0,325.0,327.0
567151288.0,325.0,326.0
567152944.0,330.0,324.0
567154600.0,326.0,317.0
567156256.0,323.0,337.0
567157912.0,325.0,338.0
567159568.0,324.0,333.0
567161224.0,325.0,329.0
567162892.0,325.0,326.0
567164540.0,323.0,317.0
567166196.0,324.0,314.0
567167852.0,323.0,330.0
567169508.0,325.0,346.0
567171164.0,327.0,329.0
567172820.0,330.0,325.0
567174480.0,328.0,321.0
567176136.0,324.0,309.0
567177792.0,325.0,324.0
567179448.0,324.0,353.0
567181104.0,323.0,339.0
567182760.0,323.0,324.0
567184416.0,325.0,323.0
567186072.0,325.0,328.0
567187728.0,326.0,325.0
567189388.0,326.0,323.0
567191044.0,327.0,323.0
567192700.0,329.0,330.0
567194356.0,328.0,326.0
567196012.0,324.0,317.0
567197672.0,325.0,326.0
567199328.0,322.0,332.0
567200984.0,321.0,348.0
567202640.0,322.0,320.0
567204296.0,329.0,304.0
567205952.0,326.0,315.0
567207608.0,322.0,347.0
567209268.0,324.0,343.0
567210920.0,326.0,317.0
567212580.0,327.0,324.0
567214236.0,324.0,317.0
567215892.0,326.0,354.0
567217548.0,325.0,332.0
567219216.0,324.0,307.0
567220864.0,323.0,346.0
567222520.0,323.0,335.0
567224176.0,321.0,300.0
567225832.0,324.0,310.0
567227488.0,324.0,336.0
567229144.0,327.0,334.0
567230800.0,330.0,324.0
567232460.0,328.0,323.0
567234116.0,329.0,331.0
567235772.0,325.0,335.0
567237428.0,325.0,330.0
567239084.0,325.0,327.0
567240740.0,325.0,329.0
567242396.0,324.0,324.0
567244052.0,325.0,334.0
567245712.0,325.0,336.0
567247368.0,323.0,325.0
567249024.0,324.0,324.0
567250680.0,327.0,326.0
567252336.0,328.0,322.0
567253992.0,324.0,335.0
567255648.0,323.0,311.0
567257304.0,325.0,323.0
567258964.0,324.0,342.0
567260620.0,322.0,326.0
567262276.0,324.0,331.0
567263932.0,325.0,338.0
567265588.0,324.0,335.0
567267244.0,325.0,320.0
567268900.0,325.0,320.0
567270560.0,327.0,326.0
567272216.0,325.0,325.0
567273872.0,327.0,332.0
567275536.0,326.0,324.0
567277184.0,327.0,303.0
567278840.0,323.0,312.0
