timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),left mouse button,right mouse button
362147144.0,323.0,321.0,0.0,0.0
362148800.0,324.0,320.0,0.0,0.0
362150456.0,322.0,322.0,0.0,0.0
362152112.0,324.0,325.0,0.0,0.0
362153768.0,325.0,326.0,0.0,0.0
362155428.0,324.0,324.0,0.0,0.0
362157084.0,322.0,325.0,0.0,0.0
362158740.0,321.0,326.0,0.0,0.0
362160396.0,321.0,324.0,0.0,0.0
362162052.0,320.0,321.0,0.0,0.0
362163708.0,319.0,321.0,0.0,0.0
362165364.0,321.0,321.0,0.0,0.0
362167020.0,321.0,322.0,0.0,0.0
362168676.0,322.0,322.0,0.0,0.0
362170336.0,322.0,323.0,0.0,0.0
362171992.0,324.0,322.0,0.0,0.0
362173648.0,324.0,323.0,0.0,0.0
362175304.0,324.0,324.0,0.0,0.0
362176960.0,322.0,324.0,0.0,0.0
362178616.0,322.0,325.0,0.0,0.0
362180272.0,321.0,325.0,0.0,0.0
362181932.0,320.0,324.0,0.0,0.0
362183588.0,319.0,323.0,0.0,0.0
362185244.0,322.0,322.0,0.0,0.0
362186900.0,323.0,321.0,0.0,0.0
362188556.0,322.0,321.0,0.0,0.0
362190216.0,322.0,322.0,0.0,0.0
362191872.0,323.0,323.0,0.0,0.0
362193528.0,322.0,323.0,0.0,0.0
362195184.0,322.0,324.0,0.0,0.0
362196840.0,321.0,323.0,0.0,0.0
362198496.0,321.0,324.0,0.0,0.0
362200152.0,321.0,325.0,0.0,0.0
362201808.0,321.0,327.0,0.0,0.0
362203468.0,324.0,324.0,0.0,0.0
362205124.0,321.0,321.0,0.0,0.0
362206780.0,321.0,321.0,0.0,0.0
362208436.0,322.0,321.0,0.0,0.0
362210092.0,323.0,321.0,0.0,0.0
362211748.0,323.0,322.0,0.0,0.0
362213404.0,323.0,323.0,0.0,0.0
362215064.0,323.0,324.0,0.0,0.0
362216720.0,321.0,325.0,0.0,0.0
362218376.0,321.0,326.0,0.0,0.0
362220032.0,324.0,327.0,0.0,0.0
362221688.0,319.0,324.0,0.0,0.0
362223344.0,319.0,323.0,0.0,0.0
362225000.0,320.0,321.0,0.0,0.0
362226660.0,321.0,321.0,0.0,0.0
362228316.0,322.0,320.0,0.0,0.0
362229972.0,323.0,322.0,0.0,0.0
362231628.0,323.0,323.0,0.0,0.0
362233284.0,323.0,324.0,0.0,0.0
362234940.0,324.0,323.0,1.0,0.0
362236596.0,322.0,324.0,1.0,0.0
362238252.0,322.0,325.0,1.0,0.0
362239912.0,320.0,324.0,1.0,0.0
362241568.0,320.0,323.0,1.0,0.0
362243224.0,319.0,323.0,1.0,0.0
362244880.0,320.0,322.0,1.0,0.0
362246536.0,321.0,321.0,1.0,0.0
362248200.0,323.0,321.0,1.0,0.0
362249852.0,324.0,322.0,1.0,0.0
362251508.0,324.0,322.0,1.0,0.0
362253164.0,323.0,323.0,1.0,0.0
362254820.0,324.0,324.0,1.0,0.0
362256476.0,322.0,324.0,1.0,0.0
362258132.0,322.0,325.0,1.0,0.0
362259792.0,320.0,325.0,1.0,0.0
362261444.0,318.0,323.0,1.0,0.0
362263104.0,320.0,323.0,1.0,0.0
362264760.0,323.0,322.0,1.0,0.0
362266416.0,322.0,321.0,1.0,0.0
362268072.0,322.0,322.0,1.0,0.0
362269728.0,326.0,325.0,1.0,0.0
362271384.0,324.0,323.0,1.0,0.0
362273040.0,324.0,323.0,1.0,0.0
362274700.0,323.0,325.0,1.0,0.0
362276356.0,322.0,325.0,1.0,0.0
362278012.0,322.0,323.0,1.0,0.0
362279668.0,322.0,324.0,1.0,0.0
362281324.0,319.0,322.0,1.0,0.0
