timestamp,Outer forearm sensor value (1),Inner forearm sensor value (2),left mouse button,right mouse button
166831800.0,-0.04988498128567013,-0.03366031062613521,0.0,0.0
166833456.0,-0.04233878380570513,-0.040426269461135034,0.0,0.0
166835112.0,-0.057849135489995394,-0.027396841504781725,0.0,0.0
166836768.0,0.005961355052519211,-0.023758477253281278,0.0,0.0
166838424.0,0.011167777246616523,-0.0012927615178497823,0.0,0.0
166840080.0,0.05063125529188752,0.020845501434944964,0.0,0.0
166841736.0,0.06962615533970055,0.03096184997155372,0.0,0.0
166843400.0,0.055069342363426706,0.0290857548424064,0.0,0.0
166845052.0,0.03880298838284968,0.026299188344966567,0.0,0.0
166846708.0,0.013846747570144114,0.023681470409148853,0.0,0.0
166848364.0,-0.029645521384310085,0.021314543458106974,0.0,0.0
166850020.0,-0.06089172866562363,-0.010816788878720401,0.0,0.0
166851676.0,-0.06822363174103856,-0.05273509778994946,0.0,0.0
166853332.0,-0.06274337616113186,-0.06176158679086406,0.0,0.0
166854988.0,-0.036603249304433844,-0.017015427989765762,0.0,0.0
166856648.0,-0.0009563454499399355,-0.001456885178591407,0.0,0.0
166858304.0,0.03233794698746196,7.450334048751152e-05,0.0,0.0
166859960.0,0.05242401807795371,0.030205623006559032,0.0,0.0
166861616.0,0.05951360284908668,0.050198917705915155,0.0,0.0
166863272.0,0.054795441222072555,0.037480411635327684,0.0,0.0
166864928.0,0.05943921696565759,0.04296250904179135,0.0,0.0
166866588.0,0.014507627255666514,-0.00041072800538530675,0.0,0.0
166868240.0,-0.03084190227124438,-0.014277353819144255,0.0,0.0
166869900.0,-0.04214758872425607,-0.014240388298664693,0.0,0.0
166871556.0,-0.05937181751984124,-0.0229554264549383,0.0,0.0
166873212.0,-0.07557853453465763,-0.041673791508061324,0.0,0.0
166874868.0,-0.08023507095787191,-0.0396078031271146,0.0,0.0
166876524.0,-0.02343300284975272,-0.025857161891387946,0.0,0.0
166878184.0,0.03378815353645348,-0.0022924596099464923,0.0,0.0
166879840.0,0.05589712379292895,0.02003468496027672,0.0,0.0
166881496.0,0.06285618997464984,0.07024100632516736,0.0,0.0
166883152.0,0.06782544883329363,0.058437884678746436,0.0,0.0
166884808.0,0.06216839173557287,0.012116194109481938,0.0,0.0
166886464.0,0.04606410134057531,-0.00314321551160638,0.0,0.0
166888120.0,-0.019531053915629665,-0.004233672981455775,0.0,0.0
166889780.0,-0.05367682303627974,-0.023950783585411202,0.0,0.0
166891436.0,-0.07191902818387591,-0.04356975301708473,0.0,0.0
166893092.0,-0.06708811411060846,-0.0414141824944,0.0,0.0
166894748.0,-0.05061540157405963,-0.03749290472285839,0.0,0.0
166896404.0,-0.01457747130410032,-0.023765628298361256,0.0,0.0
166898060.0,0.009977914837561068,-0.00039126687330627227,0.0,0.0
166899724.0,0.06128988725492783,0.03174763967355022,0.0,0.0
166901376.0,0.0503918749195462,0.04178285369215006,0.0,0.0
166903032.0,0.05487578506660837,0.03892556612152542,0.0,0.0
166904684.0,0.05034051632384922,0.035165109289233054,0.0,0.0
166906344.0,0.015401695667851052,0.021661808338293495,0.0,0.0
166908000.0,-0.01912895080129538,-0.0015030514977369142,0.0,0.0
166909656.0,-0.05051510341139573,-0.013452614248186171,0.0,0.0
166911312.0,-0.05879349783928198,-0.03331733961338644,0.0,0.0
166912968.0,-0.05424713853225637,-0.032106604331049116,0.0,0.0
166914624.0,-0.05895572372672668,-0.03910804376584604,0.0,0.0
166916284.0,-0.014073481258820757,-0.03621844937605333,0.0,0.0
166917940.0,0.021232533876589195,-0.022698725437122636,0.0,0.0
166919596.0,0.06249914718988136,0.010560935006719892,0.0,0.0
166921252.0,0.060588219140986055,0.0326038202960615,0.0,0.0
166922908.0,0.0349632958938973,0.041653336145458415,0.0,0.0
166924564.0,0.02951035617121197,0.03871899231881175,0.0,0.0
166926224.0,-0.0036363404592410645,0.034970192065724465,0.0,0.0
166927880.0,-0.01629227251465185,0.011485482757025154,0.0,0.0
166929536.0,-0.03596500187331959,-0.021661834528887775,0.0,0.0
166931192.0,-0.06449869734700092,-0.022695527977018334,0.0,0.0
166932848.0,-0.04126184717840102,-0.010745962869424117,0.0,0.0
166934504.0,-0.04545696441717094,-0.02870336535148849,0.0,0.0
166936160.0,-0.0017433981711193914,-0.027736228693238614,0.0,0.0
166937820.0,0.03234772862642884,-0.015152925811605218,0.0,0.0
166939476.0,0.04250463446183186,0.01734333477078285,0.0,0.0
166941132.0,0.06959333888545098,0.04870709809382675,0.0,0.0
166942788.0,0.05576792178388783,0.037146197964461974,0.0,0.0
166944444.0,0.029504521284198944,0.022762559136012453,0.0,0.0
166946100.0,0.014485408323645626,-0.010580598680787989,0.0,0.0
166947756.0,-0.018169998591935688,0.017370770996969185,0.0,0.0
166949416.0,-0.019473685341063796,0.018323024878240106,0.0,0.0
166951072.0,-0.07783838546778504,-0.02324034451148428,0.0,0.0
166952728.0,-0.0460857537870893,-0.0448894167505293,0.0,0.0
