landmark_type,global_timestamp_ms,video_timestamp_ms,landmark_id,x,y,z,angle
hand,1691507137.246,0.0,0,0.7368881702423096,0.601180374622345,-3.269414037276875e-07,
hand,1691507137.246,0.0,1,0.7517141699790955,0.4993644952774048,-0.0083504524081945,
hand,1691507137.246,0.0,2,0.7795654535293579,0.4370663464069366,-0.0128596713766455,
hand,1691507137.246,0.0,3,0.8070331811904907,0.4022136330604553,-0.0147154284641146,
hand,1691507137.246,0.0,4,0.8232563138008118,0.4067049324512481,-0.0149748595431447,
hand,1691507137.246,0.0,5,0.8289203643798828,0.5046608448028564,-0.0144264679402112,
hand,1691507137.246,0.0,6,0.8345130681991577,0.4376677870750427,-0.0064200591295957,
hand,1691507137.246,0.0,7,0.8151994943618774,0.4364108443260193,0.000638352765236,
hand,1691507137.246,0.0,8,0.8039418458938599,0.453690767288208,0.0035673149395734,
hand,1691507137.246,0.0,9,0.8301740884780884,0.5597130656242371,-0.0090858926996588,
hand,1691507137.246,0.0,10,0.830329418182373,0.485217422246933,-0.0027770493179559,
hand,1691507137.246,0.0,11,0.8128268718719482,0.4766402244567871,0.0004396929289214,
hand,1691507137.246,0.0,12,0.8012084364891052,0.4914848208427429,-3.094426210736856e-05,
hand,1691507137.246,0.0,13,0.8211159110069275,0.5990822911262512,-0.0018231101566925,
hand,1691507137.246,0.0,14,0.8230959177017212,0.5316059589385986,0.0021406575106084,
hand,1691507137.246,0.0,15,0.8093141317367554,0.5210079550743103,0.0041463202796876,
hand,1691507137.246,0.0,16,0.7961133122444153,0.5316181182861328,0.0031450071837753,
hand,1691507137.246,0.0,17,0.8093764185905457,0.624494731426239,0.0054762912914156,
hand,1691507137.246,0.0,18,0.8146669268608093,0.5738474726676941,0.0079788491129875,
hand,1691507137.246,0.0,19,0.8039402961730957,0.5637364983558655,0.0115135107189416,
hand,1691507137.246,0.0,20,0.7927730083465576,0.5712677240371704,0.0135569041594862,
hand,1691507137.2793334,33.333333333333336,0,0.7356445789337158,0.5947352051734924,-2.625995421112748e-07,
hand,1691507137.2793334,33.333333333333336,1,0.7469555139541626,0.4955266714096069,-0.0072430432774126,
hand,1691507137.2793334,33.333333333333336,2,0.7743553519248962,0.4328669905662536,-0.0091629615053534,
hand,1691507137.2793334,33.333333333333336,3,0.802052915096283,0.3968497216701507,-0.0082066226750612,
hand,1691507137.2793334,33.333333333333336,4,0.8154973983764648,0.4011071920394897,-0.0055431481450796,
hand,1691507137.2793334,33.333333333333336,5,0.8270509839057922,0.4928635656833648,-0.0096863880753517,
hand,1691507137.2793334,33.333333333333336,6,0.8249993920326233,0.434135377407074,0.0012052127858623,
hand,1691507137.2793334,33.333333333333336,7,0.805713951587677,0.4383149445056915,0.0098363030701875,
hand,1691507137.2793334,33.333333333333336,8,0.7945767641067505,0.457612007856369,0.0138068702071905,
hand,1691507137.2793334,33.333333333333336,9,0.8272405862808228,0.5481036305427551,-0.0039358478970825,
hand,1691507137.2793334,33.333333333333336,10,0.8210902810096741,0.4826005101203918,0.0061967568472027,
hand,1691507137.2793334,33.333333333333336,11,0.804032564163208,0.4775883555412292,0.0103865461423993,
hand,1691507137.2793334,33.333333333333336,12,0.7929888367652893,0.4928956627845764,0.0103699499741196,
hand,1691507137.2793334,33.333333333333336,13,0.817188024520874,0.5895997285842896,0.0036144191399216,
hand,1691507137.2793334,33.333333333333336,14,0.8152093887329102,0.5315840840339661,0.0103924619033932,
hand,1691507137.2793334,33.333333333333336,15,0.8022356033325195,0.5212520360946655,0.0120791466906666,
hand,1691507137.2793334,33.333333333333336,16,0.7894402146339417,0.5324330925941467,0.0107008488848805,
hand,1691507137.2793334,33.333333333333336,17,0.8047441244125366,0.6177481412887573,0.0112114557996392,
